Id,DataMovimentacao,Descricao,Valor,Tipo
1,2032-12-11,Hospedagem,750.0,1
2,2030-06-30,Hospedagem,200.0,1
3,2030-05-09,Hospedagem,150.0,1
4,2030-05-07,Hospedagem,600.0,1
5,2030-10-25,Hospedagem,300.0,1
6,2030-12-27,Hospedagem,200.0,1
7,2030-03-31,Hospedagem,400.0,1
8,2031-09-09,Hospedagem,200.0,1
9,2030-02-09,Hospedagem,300.0,1
10,2032-01-17,Hospedagem,300.0,1
11,2031-10-08,Hospedagem,150.0,1
12,2031-09-13,Hospedagem,450.0,1
13,2030-07-06,Hospedagem,600.0,1
14,2031-08-18,Hospedagem,150.0,1
15,2030-11-17,Hospedagem,100.0,1
16,2031-07-01,Hospedagem,200.0,1
17,2032-05-09,Hospedagem,200.0,1
18,2031-12-06,Hospedagem,450.0,1
19,2031-03-11,Hospedagem,300.0,1
20,2030-03-06,Hospedagem,600.0,1
21,2030-01-07,Hospedagem,200.0,1
22,2030-05-18,Hospedagem,450.0,1
23,2032-02-02,Hospedagem,600.0,1
24,2033-01-01,Hospedagem,200.0,1
25,2032-02-15,Hospedagem,150.0,1
26,2032-12-15,Hospedagem,150.0,1
27,2030-05-23,Hospedagem,100.0,1
28,2031-01-28,Hospedagem,100.0,1
29,2032-01-15,Hospedagem,400.0,1
30,2032-10-27,Hospedagem,100.0,1
31,2032-07-13,Hospedagem,300.0,1
32,2030-03-16,Hospedagem,450.0,1
33,2030-06-18,Hospedagem,450.0,1
34,2031-09-20,Hospedagem,100.0,1
35,2030-12-08,Hospedagem,200.0,1
36,2031-11-28,Hospedagem,200.0,1
37,2030-02-18,Hospedagem,400.0,1
38,2031-08-06,Hospedagem,300.0,1
39,2032-08-23,Hospedagem,100.0,1
40,2030-02-13,Hospedagem,200.0,1
41,2032-05-11,Hospedagem,300.0,1
42,2031-11-22,Hospedagem,400.0,1
43,2031-05-23,Hospedagem,100.0,1
44,2030-12-12,Hospedagem,100.0,1
45,2030-10-20,Hospedagem,100.0,1
46,2030-08-20,Hospedagem,300.0,1
47,2030-06-26,Hospedagem,150.0,1
48,2032-03-21,Hospedagem,300.0,1
49,2030-01-18,Hospedagem,1000.0,1
50,2031-06-17,Hospedagem,300.0,1
51,2031-05-20,Hospedagem,200.0,1
52,2032-05-27,Hospedagem,450.0,1
53,2031-11-26,Hospedagem,150.0,1
54,2031-11-17,Hospedagem,200.0,1
55,2031-08-31,Hospedagem,300.0,1
56,2032-11-18,Hospedagem,200.0,1
57,2032-09-26,Hospedagem,100.0,1
58,2032-05-10,Hospedagem,300.0,1
59,2030-07-10,Hospedagem,450.0,1
60,2032-02-27,Hospedagem,200.0,1
61,2030-02-13,Hospedagem,150.0,1
62,2030-07-03,Hospedagem,200.0,1
63,2032-07-19,Hospedagem,400.0,1
64,2031-01-27,Hospedagem,200.0,1
65,2032-08-18,Hospedagem,100.0,1
66,2030-01-20,Hospedagem,200.0,1
67,2031-04-04,Hospedagem,200.0,1
68,2032-05-06,Hospedagem,200.0,1
69,2030-11-18,Hospedagem,200.0,1
70,2032-10-07,Hospedagem,150.0,1
71,2030-02-20,Hospedagem,150.0,1
72,2032-01-04,Hospedagem,150.0,1
73,2031-07-11,Hospedagem,300.0,1
74,2030-12-04,Hospedagem,600.0,1
75,2031-05-07,Hospedagem,300.0,1
76,2032-08-28,Hospedagem,250.0,1
77,2030-06-15,Hospedagem,150.0,1
78,2031-04-15,Hospedagem,300.0,1
79,2032-03-25,Hospedagem,200.0,1
80,2032-04-23,Hospedagem,100.0,1
81,2032-11-18,Hospedagem,600.0,1
82,2032-03-17,Hospedagem,100.0,1
83,2030-04-12,Hospedagem,200.0,1
84,2030-08-14,Hospedagem,100.0,1
85,2031-10-22,Hospedagem,450.0,1
86,2031-07-08,Hospedagem,150.0,1
87,2032-06-25,Hospedagem,600.0,1
88,2030-11-15,Hospedagem,150.0,1
89,2032-04-30,Hospedagem,200.0,1
90,2032-11-23,Hospedagem,300.0,1
91,2031-04-23,Hospedagem,800.0,1
92,2031-05-24,Hospedagem,300.0,1
93,2032-01-22,Hospedagem,500.0,1
94,2032-11-30,Hospedagem,600.0,1
95,2030-09-10,Hospedagem,400.0,1
96,2030-04-08,Hospedagem,200.0,1
97,2031-03-26,Hospedagem,100.0,1
98,2032-01-06,Hospedagem,100.0,1
99,2032-10-17,Hospedagem,150.0,1
100,2032-08-13,Hospedagem,200.0,1
