chave_data,data,ano,mes,dia,nome_dia_semana,fim_de_semana,trimestre,alta_temporada,feriado,nome_feriado
20300101,2030-01-01,2030,1,1,Terça-feira,False,1,False,True,Confraternização Universal
20300102,2030-01-02,2030,1,2,Quarta-feira,False,1,False,False,
20300103,2030-01-03,2030,1,3,Quinta-feira,False,1,False,False,
20300104,2030-01-04,2030,1,4,Sexta-feira,False,1,False,False,
20300105,2030-01-05,2030,1,5,Sábado,True,1,False,False,
20300106,2030-01-06,2030,1,6,Domingo,True,1,False,False,
20300107,2030-01-07,2030,1,7,Segunda-feira,False,1,False,False,
20300108,2030-01-08,2030,1,8,Terça-feira,False,1,False,False,
20300109,2030-01-09,2030,1,9,Quarta-feira,False,1,False,False,
20300110,2030-01-10,2030,1,10,Quinta-feira,False,1,False,False,
20300111,2030-01-11,2030,1,11,Sexta-feira,False,1,False,False,
20300112,2030-01-12,2030,1,12,Sábado,True,1,False,False,
20300113,2030-01-13,2030,1,13,Domingo,True,1,False,False,
20300114,2030-01-14,2030,1,14,Segunda-feira,False,1,False,False,
20300115,2030-01-15,2030,1,15,Terça-feira,False,1,False,False,
20300116,2030-01-16,2030,1,16,Quarta-feira,False,1,False,False,
20300117,2030-01-17,2030,1,17,Quinta-feira,False,1,False,False,
20300118,2030-01-18,2030,1,18,Sexta-feira,False,1,False,False,
20300119,2030-01-19,2030,1,19,Sábado,True,1,False,False,
20300120,2030-01-20,2030,1,20,Domingo,True,1,False,False,
20300121,2030-01-21,2030,1,21,Segunda-feira,False,1,False,False,
20300122,2030-01-22,2030,1,22,Terça-feira,False,1,False,False,
20300123,2030-01-23,2030,1,23,Quarta-feira,False,1,False,False,
20300124,2030-01-24,2030,1,24,Quinta-feira,False,1,False,False,
20300125,2030-01-25,2030,1,25,Sexta-feira,False,1,False,False,
20300126,2030-01-26,2030,1,26,Sábado,True,1,False,False,
20300127,2030-01-27,2030,1,27,Domingo,True,1,False,False,
20300128,2030-01-28,2030,1,28,Segunda-feira,False,1,False,False,
20300129,2030-01-29,2030,1,29,Terça-feira,False,1,False,False,
20300130,2030-01-30,2030,1,30,Quarta-feira,False,1,False,False,
20300131,2030-01-31,2030,1,31,Quinta-feira,False,1,False,False,
20300201,2030-02-01,2030,2,1,Sexta-feira,False,1,False,False,
20300202,2030-02-02,2030,2,2,Sábado,True,1,False,False,
20300203,2030-02-03,2030,2,3,Domingo,True,1,False,False,
20300204,2030-02-04,2030,2,4,Segunda-feira,False,1,False,False,
20300205,2030-02-05,2030,2,5,Terça-feira,False,1,False,False,
20300206,2030-02-06,2030,2,6,Quarta-feira,False,1,False,False,
20300207,2030-02-07,2030,2,7,Quinta-feira,False,1,False,False,
20300208,2030-02-08,2030,2,8,Sexta-feira,False,1,False,False,
20300209,2030-02-09,2030,2,9,Sábado,True,1,False,False,
20300210,2030-02-10,2030,2,10,Domingo,True,1,False,False,
20300211,2030-02-11,2030,2,11,Segunda-feira,False,1,False,False,
20300212,2030-02-12,2030,2,12,Terça-feira,False,1,False,False,
20300213,2030-02-13,2030,2,13,Quarta-feira,False,1,False,False,
20300214,2030-02-14,2030,2,14,Quinta-feira,False,1,False,False,
20300215,2030-02-15,2030,2,15,Sexta-feira,False,1,False,False,
20300216,2030-02-16,2030,2,16,Sábado,True,1,False,False,
20300217,2030-02-17,2030,2,17,Domingo,True,1,False,False,
20300218,2030-02-18,2030,2,18,Segunda-feira,False,1,False,False,
20300219,2030-02-19,2030,2,19,Terça-feira,False,1,False,False,
20300220,2030-02-20,2030,2,20,Quarta-feira,False,1,False,False,
20300221,2030-02-21,2030,2,21,Quinta-feira,False,1,False,False,
20300222,2030-02-22,2030,2,22,Sexta-feira,False,1,False,False,
20300223,2030-02-23,2030,2,23,Sábado,True,1,False,False,
20300224,2030-02-24,2030,2,24,Domingo,True,1,False,False,
20300225,2030-02-25,2030,2,25,Segunda-feira,False,1,False,False,
20300226,2030-02-26,2030,2,26,Terça-feira,False,1,False,False,
20300227,2030-02-27,2030,2,27,Quarta-feira,False,1,False,False,
20300228,2030-02-28,2030,2,28,Quinta-feira,False,1,False,False,
20300301,2030-03-01,2030,3,1,Sexta-feira,False,1,False,False,
20300302,2030-03-02,2030,3,2,Sábado,True,1,False,False,
20300303,2030-03-03,2030,3,3,Domingo,True,1,False,False,
20300304,2030-03-04,2030,3,4,Segunda-feira,False,1,False,True,Carnaval
20300305,2030-03-05,2030,3,5,Terça-feira,False,1,False,True,Carnaval
20300306,2030-03-06,2030,3,6,Quarta-feira,False,1,False,True,Quarta-feira de Cinzas
20300307,2030-03-07,2030,3,7,Quinta-feira,False,1,False,False,
20300308,2030-03-08,2030,3,8,Sexta-feira,False,1,False,False,
20300309,2030-03-09,2030,3,9,Sábado,True,1,False,False,
20300310,2030-03-10,2030,3,10,Domingo,True,1,False,False,
20300311,2030-03-11,2030,3,11,Segunda-feira,False,1,False,False,
20300312,2030-03-12,2030,3,12,Terça-feira,False,1,False,False,
20300313,2030-03-13,2030,3,13,Quarta-feira,False,1,False,False,
20300314,2030-03-14,2030,3,14,Quinta-feira,False,1,False,False,
20300315,2030-03-15,2030,3,15,Sexta-feira,False,1,False,False,
20300316,2030-03-16,2030,3,16,Sábado,True,1,False,False,
20300317,2030-03-17,2030,3,17,Domingo,True,1,False,False,
20300318,2030-03-18,2030,3,18,Segunda-feira,False,1,False,False,
20300319,2030-03-19,2030,3,19,Terça-feira,False,1,False,False,
20300320,2030-03-20,2030,3,20,Quarta-feira,False,1,False,False,
20300321,2030-03-21,2030,3,21,Quinta-feira,False,1,False,False,
20300322,2030-03-22,2030,3,22,Sexta-feira,False,1,False,False,
20300323,2030-03-23,2030,3,23,Sábado,True,1,False,False,
20300324,2030-03-24,2030,3,24,Domingo,True,1,False,False,
20300325,2030-03-25,2030,3,25,Segunda-feira,False,1,False,False,
20300326,2030-03-26,2030,3,26,Terça-feira,False,1,False,False,
20300327,2030-03-27,2030,3,27,Quarta-feira,False,1,False,False,
20300328,2030-03-28,2030,3,28,Quinta-feira,False,1,False,False,
20300329,2030-03-29,2030,3,29,Sexta-feira,False,1,False,False,
20300330,2030-03-30,2030,3,30,Sábado,True,1,False,False,
20300331,2030-03-31,2030,3,31,Domingo,True,1,False,False,
20300401,2030-04-01,2030,4,1,Segunda-feira,False,2,False,False,
20300402,2030-04-02,2030,4,2,Terça-feira,False,2,False,False,
20300403,2030-04-03,2030,4,3,Quarta-feira,False,2,False,False,
20300404,2030-04-04,2030,4,4,Quinta-feira,False,2,False,False,
20300405,2030-04-05,2030,4,5,Sexta-feira,False,2,False,False,
20300406,2030-04-06,2030,4,6,Sábado,True,2,False,False,
20300407,2030-04-07,2030,4,7,Domingo,True,2,False,False,
20300408,2030-04-08,2030,4,8,Segunda-feira,False,2,False,False,
20300409,2030-04-09,2030,4,9,Terça-feira,False,2,False,False,
20300410,2030-04-10,2030,4,10,Quarta-feira,False,2,False,False,
20300411,2030-04-11,2030,4,11,Quinta-feira,False,2,False,False,
20300412,2030-04-12,2030,4,12,Sexta-feira,False,2,False,False,
20300413,2030-04-13,2030,4,13,Sábado,True,2,False,False,
20300414,2030-04-14,2030,4,14,Domingo,True,2,False,False,
20300415,2030-04-15,2030,4,15,Segunda-feira,False,2,False,False,
20300416,2030-04-16,2030,4,16,Terça-feira,False,2,False,False,
20300417,2030-04-17,2030,4,17,Quarta-feira,False,2,False,False,
20300418,2030-04-18,2030,4,18,Quinta-feira,False,2,False,False,
20300419,2030-04-19,2030,4,19,Sexta-feira,False,2,False,True,Sexta-feira Santa
20300420,2030-04-20,2030,4,20,Sábado,True,2,False,False,
20300421,2030-04-21,2030,4,21,Domingo,True,2,False,True,Tiradentes
20300422,2030-04-22,2030,4,22,Segunda-feira,False,2,False,False,
